Code,Label,Year,Indigenous protected land areas (no.),National parks (no.),Nature reserves (no.),All other protected land areas (no.),Total protected land areas (no.),Indigenous protected land area (ha),National parks (ha),Nature reserves (ha),All other protected land areas (ha),Total protected land area (ha),Indigenous protected land area (%),National parks (%),Nature reserves (%),All other protected land areas (%),Total protected land area (%)
AUS,Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS,Australia,2016,74,"1,049","1,753","7,711","10,587","66,726,068","35,803,144","11,241,891","36,891,605","150,662,708",8.7,4.7,1.5,4.8,19.6
AUS,Australia,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS,Australia,2018,75,"1,045","1,776","9,156","12,052","66,611,173","35,117,027","11,256,017","38,528,750","151,512,968",8.7,4.6,1.5,5.0,19.7
AUS,Australia,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS,Australia,2020,76,"1,057","1,778","10,473","13,384","66,633,285","35,211,634","11,258,706","38,513,452","151,617,077",8.7,4.6,1.5,5.0,19.7
AUS,Australia,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUS,Australia,2022,81,"1,094","1,791","10,934","13,900","84,037,583","36,249,245","11,083,338","38,298,032","169,668,198",10.9,4.7,1.4,5.0,22.1
AUS,Australia,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2016,10,328,426,178,942,"15,952","4,308,348","960,551","2,158,337","7,443,188",-,5.4,1.2,2.7,9.3
1,New South Wales,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2018,10,328,426,179,943,"15,952","4,310,972","961,935","2,161,399","7,450,258",-,5.4,1.2,2.7,9.3
1,New South Wales,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2020,11,331,426,"1,368","2,136","37,939","4,381,223","963,219","2,308,855","7,691,236",-,5.5,1.2,2.9,9.6
1,New South Wales,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2022,11,338,427,"1,574","2,350","37,939","4,747,981","969,635","2,409,127","8,164,683",-,5.9,1.2,3.0,10.2
1,New South Wales,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2016,5,103,-,"2,919","3,027","3,695","3,067,215",-,"842,829","3,913,739",-,13.5,-,3.7,17.2
2,Victoria,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2018,5,98,-,"4,283","4,386","3,695","3,067,317",-,"907,084","3,978,095",-,13.5,-,4.0,17.5
2,Victoria,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2020,5,102,-,"4,361","4,468","3,695","3,067,611",-,"922,486","3,993,792",-,13.5,-,4.1,17.6
2,Victoria,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2022,5,105,-,"4,517","4,627","3,695","3,071,631",-,"934,753","4,010,079",-,13.5,-,4.1,17.6
2,Victoria,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2016,12,315,4,831,"1,162","572,899","9,719,575",978,"4,298,399","14,591,850",0.3,5.6,-,2.5,8.4
3,Queensland,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2018,12,311,2,856,"1,181","572,962","9,549,426",707,"4,881,958","15,005,053",0.3,5.5,-,2.8,8.7
3,Queensland,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2020,12,312,1,889,"1,214","573,056","9,567,963",681,"4,919,332","15,061,033",0.3,5.5,-,2.8,8.7
3,Queensland,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2022,13,321,3,881,"1,218","834,399","9,778,856","3,048","4,650,354","15,266,656",0.5,5.7,-,2.7,8.8
3,Queensland,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2016,10,16,-,"1,962","1,988","6,192,358","1,354,238",-,"22,020,435","29,567,031",6.3,1.4,-,22.4,30.0
4,South Australia,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2018,10,17,-,"1,945","1,972","6,192,358","1,355,367",-,"22,077,791","29,625,516",6.3,1.4,-,22.4,30.1
4,South Australia,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2020,10,18,-,"1,963","1,991","6,192,357","1,355,856",-,"22,078,410","29,626,623",6.3,1.4,-,22.4,30.1
4,South Australia,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2022,10,22,-,"1,983","2,015","6,192,361","1,483,658",-,"22,018,551","29,694,570",6.3,1.5,-,22.4,30.2
4,South Australia,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2016,14,231,"1,207",327,"1,779","33,870,758","12,556,796","10,233,943","2,037,910","58,699,408",13.4,5.0,4.1,0.8,23.2
5,Western Australia,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2018,15,236,"1,220",343,"1,814","33,753,811","12,343,705","10,246,523","2,663,269","59,007,309",13.4,4.9,4.1,1.1,23.4
5,Western Australia,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2020,15,238,"1,224",346,"1,823","33,753,843","12,348,611","10,247,475","2,450,982","58,800,911",13.4,4.9,4.1,1.0,23.3
5,Western Australia,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2022,18,252,"1,233",354,"1,857","50,866,662","12,676,677","10,063,149","2,450,883","76,057,372",20.1,5.0,4.0,1.0,30.1
5,Western Australia,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Tasmania,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Tasmania,2016,8,44,72,"1,416","1,540","11,141","1,521,297","22,336","1,272,734","2,827,509",0.2,22.4,0.3,18.7,41.6
6,Tasmania,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Tasmania,2018,8,44,80,"1,471","1,603","11,140","1,521,338","22,352","1,276,530","2,831,360",0.2,22.4,0.3,18.8,41.6
6,Tasmania,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Tasmania,2020,8,44,80,"1,466","1,598","11,140","1,521,338","22,352","1,272,955","2,827,785",0.2,22.4,0.3,18.7,41.6
6,Tasmania,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Tasmania,2022,8,44,80,"1,544","1,676","11,125","1,521,410","22,345","1,273,930","2,828,810",0.2,22.4,0.3,18.7,41.6
6,Tasmania,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Northern Territory,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Northern Territory,2016,15,7,-,62,84,"26,059,265","3,183,135",-,"4,231,925","33,474,325",19.3,2.4,-,3.1,24.8
7,Northern Territory,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Northern Territory,2018,15,6,-,63,84,"26,061,255","2,876,280",-,"4,531,769","33,469,304",19.3,2.1,-,3.4,24.8
7,Northern Territory,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Northern Territory,2020,15,6,-,63,84,"26,061,255","2,876,409",-,"4,531,481","33,469,144",19.3,2.1,-,3.4,24.8
7,Northern Territory,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Northern Territory,2022,16,6,-,63,85,"26,091,402","2,876,409",-,"4,531,482","33,499,293",19.4,2.1,-,3.4,24.8
7,Northern Territory,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Australian Capital Territory,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Australian Capital Territory,2016,-,1,44,2,47,-,"77,780","24,083","28,962","130,825",-,33.0,10.2,12.3,55.5
8,Australian Capital Territory,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Australian Capital Territory,2018,-,1,48,2,51,-,"77,863","24,499","28,877","131,240",-,33.0,10.4,12.2,55.7
8,Australian Capital Territory,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Australian Capital Territory,2020,-,1,47,2,50,-,"77,863","24,979","28,877","131,720",-,33.0,10.6,12.2,55.9
8,Australian Capital Territory,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Australian Capital Territory,2022,-,1,48,2,51,-,"77,863","25,161","28,877","131,902",-,33.0,10.7,12.2,55.9
8,Australian Capital Territory,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Territories,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Territories,2016,-,4,-,14,18,-,"14,760",-,73,"14,833",-,57.7,-,0.3,58.0
9,Other Territories,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Territories,2018,-,4,-,14,18,-,"14,760",-,73,"14,833",-,57.7,-,0.3,58.0
9,Other Territories,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Territories,2020,-,5,-,15,20,-,"14,760",-,73,"14,833",-,57.7,-,0.3,58.0
9,Other Territories,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Territories,2022,-,5,-,16,21,-,"14,760",-,73,"14,833",-,57.7,-,0.3,58.0
9,Other Territories,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
