SA2_NAME_2011,QI_INDICATOR
Goulburn,Acceptable
Goulburn Region,Poor
Yass,Poor
Yass Region,Poor
Young,Acceptable
Young Region,Acceptable
Braidwood,Acceptable
Karabar,Poor
Queanbeyan,Poor
Queanbeyan - East,Poor
Queanbeyan Region,Poor
Queanbeyan West - Jerrabomberra,Acceptable
Bombala,Good
Cooma,Acceptable
Cooma Region,Poor
Jindabyne - Berridale,Good
Batemans Bay,Poor
Batemans Bay - South,Poor
Bega - Tathra,Poor
Bega-Eden Hinterland,Poor
Broulee - Tomakin,Poor
Deua - Wadbilliga,Poor
Eden,Good
Eurobodalla Hinterland,Poor
Merimbula - Tura Beach,Good
Moruya - Tuross Head,Poor
Narooma - Bermagui,Good
Avoca Beach - Copacabana,Poor
Box Head - MacMasters Beach,Poor
Calga - Kulnura,Poor
Erina - Green Point,Poor
Gosford - Springfield,Poor
Kariong,Poor
Kincumber - Picketts Valley,Poor
Narara,Poor
Niagara Park - Lisarow,Poor
Point Clare - Koolewong,Poor
Saratoga - Davistown,Poor
Terrigal - North Avoca,Poor
Umina - Booker Bay - Patonga,Acceptable
Wamberal - Forresters Beach,Poor
Woy Woy - Blackwall,Acceptable
Wyoming,Poor
Bateau Bay - Killarney Vale,Poor
Blue Haven - San Remo,Poor
Budgewoi - Buff Point - Halekulani,Poor
Chittaway Bay - Tumbi Umbi,Poor
Gorokan - Kanwal - Charmhaven,Poor
Jilliby - Yarramalong,Poor
Lake Munmorah - Mannering Park,Poor
Ourimbah - Fountaindale,Good
Summerland Point - Gwandalan,Poor
The Entrance,Poor
Toukley - Norah Head,Poor
Tuggerah - Kangy Angy,Poor
Warnervale - Wadalba,Poor
Wyong,Poor
Bathurst,Poor
Bathurst - East,Poor
Bathurst Region,Poor
Oberon,Acceptable
Condobolin,Acceptable
Cowra,Acceptable
Cowra Region,Acceptable
Forbes,Good
Grenfell,Good
Parkes (NSW),Good
Parkes Region,Poor
West Wyalong,Acceptable
Lithgow,Acceptable
Lithgow Region,Poor
Mudgee,Poor
Mudgee Region - East,Acceptable
Mudgee Region - West,Poor
Wollangambe - Wollemi,Poor
Blayney,Acceptable
Orange,Poor
Orange - North,Poor
Orange Region,Poor
Grafton,Poor
Grafton Region,Poor
Maclean - Yamba - Iluka,Acceptable
Bellingen,Poor
Coffs Harbour - North,Poor
Coffs Harbour - South,Poor
Coramba - Nana Glen - Bucca,Poor
Dorrigo,Acceptable
Korora - Emerald Beach,Poor
Sawtell - Boambee,Acceptable
Urunga,Poor
Woolgoolga - Arrawarra,Acceptable
Bourke - Brewarrina,Good
Cobar,Good
Coonamble,Acceptable
Nyngan - Warren,Acceptable
Walgett - Lightning Ridge,Good
Broken Hill,Good
Far West,Poor
Coonabarabran,Good
Dubbo - East,Poor
Dubbo - South,Poor
Dubbo - West,Poor
Dubbo Region,Poor
Gilgandra,Acceptable
Narromine,Good
Wellington,Acceptable
Branxton - Greta - Pokolbin,Acceptable
Cessnock,Acceptable
Cessnock Region,Poor
Dungog,Acceptable
Kurri Kurri - Abermain,Acceptable
Singleton,Acceptable
Singleton Region,Poor
Maitland,Poor
Maitland - East,Acceptable
Maitland - North,Poor
Maitland - West,Poor
Thornton - Millers Forest,Poor
Anna Bay,Good
Lemon Tree Passage - Tanilba Bay,Good
Nelson Bay Peninsula,Good
Raymond Terrace,Poor
Seaham - Woodville,Poor
Tea Gardens - Hawks Nest,Poor
Williamtown - Medowie - Karuah,Acceptable
Muswellbrook,Acceptable
Muswellbrook Region,Poor
Scone,Poor
Scone Region,Acceptable
Berkeley - Warrawong - Windang,Good
Dapto - Avondale,Acceptable
Horsley - Kembla Grange,Poor
Port Kembla Industrial,Poor
Unanderra - Mount Kembla,Good
Illawarra Catchment Reserve,Poor
Albion Park - Macquarie Pass,Poor
Albion Park Rail,Poor
Kiama,Poor
Kiama Downs - Minnamurra,Poor
Kiama Hinterland - Gerringong,Poor
Shellharbour - Flinders,Poor
Shellharbour - Oak Flats,Poor
Warilla,Acceptable
Balgownie - Fairy Meadow,Acceptable
Corrimal - Tarrawanna - Bellambi,Acceptable
Figtree - Keiraville,Poor
Helensburgh,Good
Thirroul - Austinmer - Coalcliff,Good
Wollongong,Acceptable
Woonona - Bulli - Russell Vale,Good
Bulahdelah - Stroud,Poor
Forster,Poor
Forster-Tuncurry Region,Poor
Tuncurry,Poor
Kempsey,Poor
Kempsey Region,Poor
Macksville - Scotts Head,Poor
Nambucca Heads,Acceptable
Nambucca Heads Region,Poor
South West Rocks,Good
Lord Howe Island,Good
Laurieton - Bonny Hills,Good
Port Macquarie - East,Poor
Port Macquarie - West,Poor
Port Macquarie Region,Poor
Wauchope,Acceptable
Gloucester,Good
Old Bar - Manning Point - Red Head,Poor
Taree,Poor
Taree Region,Poor
Wingham,Poor
Albury - East,Poor
Albury - North,Poor
Albury - South,Poor
Albury Region,Poor
Lavington,Good
Hay,Acceptable
Wentworth - Buronga,Acceptable
Wentworth-Balranald Region,Acceptable
Corowa,Acceptable
Corowa Region,Acceptable
Deniliquin,Poor
Deniliquin Region,Poor
Moama,Acceptable
Tocumwal - Finley - Jerilderie,Acceptable
Armidale,Acceptable
Armidale Region - North,Poor
Armidale Region - South,Poor
Walcha,Good
Glen Innes,Good
Inverell,Acceptable
Inverell Region - East,Poor
Inverell Region - West,Acceptable
Tenterfield,Acceptable
Moree,Acceptable
Moree Region,Poor
Narrabri,Acceptable
Narrabri Region,Poor
Gunnedah,Acceptable
Gunnedah Region,Poor
Quirindi,Good
Tamworth - East,Poor
Tamworth - North,Poor
Tamworth - West,Poor
Tamworth Region,Poor
Belmont - Bennetts Green,Poor
Belmont South - Blacksmiths,Poor
Charlestown - Dudley,Poor
Glendale - Cardiff - Hillsborough,Poor
Mount Hutton - Windale,Poor
Redhead,Poor
Swansea - Caves Beach,Acceptable
Valentine - Eleebana,Poor
Warners Bay - Boolaroo,Poor
Bolton Point - Teralba,Poor
Bonnells Bay - Silverwater,Poor
Edgeworth - Cameron Park,Poor
Morisset - Cooranbong,Poor
Toronto - Awaba,Poor
Wangi Wangi - Rathmines,Poor
West Wallsend - Barnsley - Killingworth,Good
Adamstown - Kotara,Acceptable
Beresfield - Hexham,Poor
Hamilton - Broadmeadow,Good
Lambton - New Lambton,Poor
Maryland - Fletcher - Minmi,Poor
Mayfield - Warabrook,Good
Merewether - The Junction,Good
Newcastle - Cooks Hill,Good
Newcastle Port - Kooragang,Poor
Shortland - Jesmond,Poor
Stockton - Fullerton Cove,Good
Wallsend - Elermore Vale,Poor
Waratah - North Lambton,Acceptable
Wickham - Carrington - Tighes Hill,Good
Ballina,Poor
Ballina Region,Acceptable
Bangalow,Poor
Brunswick Heads - Ocean Shores,Poor
Byron Bay,Acceptable
Evans Head,Acceptable
Lennox Head - Skennars Head,Poor
Mullumbimby,Acceptable
Casino,Acceptable
Casino Region,Poor
Goonellabah,Poor
Kyogle,Acceptable
Lismore,Poor
Lismore Region,Poor
Kingscliff - Fingal Head,Good
Murwillumbah,Poor
Murwillumbah Region,Poor
Pottsville,Acceptable
Tweed Heads,Acceptable
Tweed Heads - South,Acceptable
Griffith (NSW),Acceptable
Griffith Region,Poor
Leeton,Good
Narrandera,Acceptable
Tumbarumba,Acceptable
Tumut,Acceptable
Tumut Region,Poor
Cootamundra,Good
Gundagai,Acceptable
Junee,Acceptable
Temora,Acceptable
Wagga Wagga - East,Poor
Wagga Wagga - North,Poor
Wagga Wagga - South,Poor
Wagga Wagga - West,Poor
Wagga Wagga Region,Poor
Berry - Kangaroo Valley,Acceptable
Callala Bay - Currarong,Poor
Culburra Beach,Poor
Ettrema - Sassafras - Budawang,Poor
Huskisson - Vincentia,Poor
North Nowra - Bomaderry,Poor
Nowra,Poor
St Georges Basin - Erowal Bay,Poor
Sussex Inlet - Berrara,Poor
Tomerong - Wandandian - Woollamia,Poor
Ulladulla,Acceptable
Ulladulla Region,Poor
Bowral,Good
Hill Top - Colo Vale,Poor
Mittagong,Poor
Moss Vale - Berrima,Poor
Robertson - Fitzroy Falls,Poor
Southern Highlands,Poor
Baulkham Hills (East),Poor
Baulkham Hills (West) - Bella Vista,Poor
Castle Hill,Poor
Cherrybrook,Acceptable
Glenhaven,Poor
Kellyville,Poor
West Pennant Hills,Acceptable
Dural - Kenthurst - Wisemans Ferry,Acceptable
Galston - Laughtondale,Good
Bilpin - Colo - St Albans,Poor
Kurrajong Heights - Ebenezer,Poor
Pitt Town - McGraths Hill,Poor
Rouse Hill - Beaumont Hills,Poor
Blacktown (East) - Kings Park,Poor
Blacktown (North) - Marayong,Poor
Blacktown (South),Poor
Doonside - Woodcroft,Good
Lalor Park - Kings Langley,Poor
Seven Hills - Toongabbie,Poor
Glenwood,Poor
Parklea - Kellyville Ridge,Poor
Quakers Hill - Acacia Gardens,Acceptable
Riverstone - Marsden Park,Poor
Bidwill - Hebersham - Emerton,Poor
Glendenning Dean Park,Poor
Hassall Grove - Plumpton,Poor
Lethbridge Park - Tregear,Poor
Mount Druitt - Whalan,Poor
Prospect Reservoir,Poor
Rooty Hill - Minchinbury,Poor
Banksmeadow,Poor
Botany,Good
Mascot - Eastlakes,Acceptable
Pagewood - Hillsdale - Daceyville,Poor
Port Botany Industrial,Poor
Sydney Airport,Poor
Marrickville,Good
Petersham - Stanmore,Poor
Sydenham - Tempe - St Peters,Good
Darlinghurst,Poor
Erskineville - Alexandria,Good
Glebe - Forest Lodge,Acceptable
Newtown - Camperdown - Darlington,Poor
Potts Point - Woolloomooloo,Good
Pyrmont - Ultimo,Good
Redfern - Chippendale,Acceptable
Surry Hills,Poor
Sydney - Haymarket - The Rocks,Good
Waterloo - Beaconsfield,Acceptable
Bondi - Tamarama - Bronte,Poor
Bondi Beach - North Bondi,Poor
Bondi Junction - Waverly,Acceptable
Centennial Park,Poor
Double Bay - Bellevue Hill,Good
Dover Heights,Poor
Paddington - Moore Park,Good
Rose Bay - Vaucluse - Watsons Bay,Poor
Woollahra,Good
Coogee - Clovelly,Acceptable
Kensington - Kingsford,Good
Malabar - La Perouse - Chifley,Acceptable
Maroubra,Acceptable
Randwick,Acceptable
Bankstown,Poor
Bass Hill - Georges Hall,Acceptable
Chullora,Poor
Condell Park,Poor
Greenacre - Mount Lewis,Good
Padstow,Good
Panania - Milperra - Picnic Point,Good
Revesby,Good
Yagoona - Birrong,Acceptable
Belmore - Belfield,Good
Canterbury (South) - Campsie,Acceptable
Kingsgrove (North) - Earlwood,Acceptable
Lakemba - Wiley Park,Good
Punchbowl,Poor
Roselands,Poor
Hurstville,Poor
Mortdale - Penshurst,Poor
Narwee - Beverly Hills,Acceptable
Oatley - Hurstville Grove,Poor
Peakhurst - Lugarno,Poor
Riverwood,Poor
South Hurstville - Blakehurst,Acceptable
Arncliffe - Bardwell Valley,Acceptable
Bexley,Poor
Kingsgrove (South) - Bardwell Park,Poor
Kogarah,Poor
Kogarah Bay - Carlton - Allawah,Poor
Monterey - Brighton-le-Sands - Kyeemagh,Poor
Rockdale - Banksia,Poor
Sans Souci - Ramsgate,Acceptable
Concord - Mortlake - Cabarita,Acceptable
Concord West - North Strathfield,Acceptable
Drummoyne - Rodd Point,Poor
Five Dock - Abbotsford,Acceptable
Balmain,Good
Leichhardt - Annandale,Acceptable
Lilyfield - Rozelle,Poor
Ashfield,Good
Burwood - Croydon,Good
Canterbury (North) - Ashbury,Poor
Croydon Park - Enfield,Acceptable
Dulwich Hill - Lewisham,Acceptable
Haberfield - Summer Hill,Good
Homebush,Good
Strathfield,Acceptable
Chatswood (East) - Artarmon,Poor
Chatswood (West) - Lane Cove North,Poor
Lane Cove - Greenwich,Poor
St Leonards - Naremburn,Poor
Willoughby - Castle Cove - Northbridge,Acceptable
Asquith - Mount Colah,Poor
Berowra - Brooklyn - Cowan,Good
Hornsby - Waitara,Poor
Normanhurst - Thornleigh - Westleigh,Poor
Gordon - Killara,Good
Lindfield - Roseville,Acceptable
Pymble,Good
St Ives,Good
Turramurra,Acceptable
Wahroonga - Warrawee,Poor
Cremorne - Cammeray,Good
Crows Nest - Waverton,Poor
Mosman,Good
Neutral Bay - Kirribilli,Acceptable
North Sydney - Lavender Bay,Poor
Balgowlah - Clontarf - Seaforth,Poor
Manly - Fairlight,Good
Avalon - Palm Beach,Acceptable
Bayview - Elanora Heights,Poor
Newport - Bilgola,Acceptable
Warriewood - Mona Vale,Acceptable
Beacon Hill - Narraweena,Poor
Cromer,Poor
Dee Why - North Curl Curl,Poor
Forestville - Killarney Heights,Good
Frenchs Forest - Belrose,Good
Freshwater - Brookvale,Acceptable
Manly Vale - Allambie Heights,Poor
Narrabeen - Collaroy,Acceptable
Terrey Hills - Duffys Forest,Good
Camden - Ellis Lane,Poor
Elderslie - Harrington Park,Poor
Mount Annan - Currans Hill,Poor
Bradbury - Wedderburn,Poor
Campbelltown - Woodbine,Poor
Claymore - Eagle Vale - Raby,Acceptable
Holsworthy Military Area,Poor
Ingleburn - Denham Court,Good
Leumeah - Minto Heights,Poor
Macquarie Fields - Glenfield,Good
Minto - St Andrews,Poor
Rosemeadow - Glen Alpine,Poor
Bargo,Good
Douglas Park - Appin,Poor
Picton - Tahmoor - Buxton,Acceptable
The Oaks - Oakdale,Poor
Blackheath - Megalong Valley,Good
Blaxland - Warrimoo - Lapstone,Good
Blue Mountains - North,Poor
Katoomba - Leura,Good
Lawson - Hazelbrook - Linden,Good
Springwood - Winmalee,Good
Wentworth Falls,Good
Blue Mountains - South,Poor
Cambridge Park,Poor
Castlereagh - Cranebrook,Good
Emu Plains - Leonay,Poor
Glenmore Park - Regentville,Acceptable
Jamisontown - South Penrith,Poor
Kingswood - Werrington,Poor
Mulgoa - Luddenham - Orchard Hills,Poor
Penrith,Poor
Warragamba - Silverdale,Good
Richmond - Clarendon,Poor
Windsor - Bligh Park,Poor
Yarramundi - Londonderry,Poor
Erskine Park,Poor
St Clair,Poor
St Marys - Colyton,Good
Auburn,Good
Homebush Bay - Silverwater,Good
Lidcombe - Regents Park,Good
Rookwood Cemetery,Poor
Carlingford,Acceptable
Ermington - Rydalmere,Acceptable
Oatlands - Dundas Valley,Acceptable
Chester Hill - Sefton,Good
Fairfield - East,Poor
Granville - Clyde,Poor
Greystanes - Pemulwuy,Poor
Guildford - South Granville,Poor
Guildford West - Merrylands West,Poor
Merrylands - Holroyd,Poor
Smithfield Industrial,Poor
Yennora Industrial,Poor
Girraween - Westmead,Poor
North Parramatta,Poor
North Rocks,Poor
Northmead,Poor
Parramatta - Rosehill,Poor
Toongabbie - Constitution Hill,Poor
Winston Hills,Poor
Epping - North Epping,Good
Pennant Hills - Cheltenham,Poor
Eastwood - Denistone,Poor
Gladesville - Huntleys Point,Good
Hunters Hill - Woolwich,Good
Macquarie Park - Marsfield,Poor
North Ryde - East Ryde,Poor
Ryde - Putney,Acceptable
West Ryde - Meadowbank,Acceptable
Ashcroft - Busby - Miller,Poor
Badgerys Creek - Greendale,Poor
Cobbitty - Leppington,Poor
Green Valley - Cecil Hills,Poor
Hoxton Park - Horningsea Park,Poor
Bonnyrigg Heights - Bonnyrigg,Good
Bossley Park - Abbotsbury,Poor
Cabramatta - Lansvale,Poor
Cabramatta West - Mount Pritchard,Poor
Canley Vale - Canley Heights,Poor
Edensor Park,Poor
Fairfield,Poor
Fairfield - West,Poor
Greenfield Park - Prairiewood,Poor
Horsley Park - Kemps Creek,Poor
Smithfield - Wetherill Park,Good
St Johns Park - Wakeley,Poor
Wetherill Park Industrial,Poor
Casula,Poor
Chipping Norton - Moorebank,Poor
Holsworthy - Wattle Grove,Acceptable
Liverpool - Warwick Farm,Poor
Prestons - Lurnea,Poor
Caringbah - Lilli Pilli,Good
Cronulla - Kurnell - Bundeena,Good
Gymea - Grays Point,Acceptable
Miranda - Yowie Bay,Good
Sylvania - Taren Point,Acceptable
Engadine - Loftus,Poor
Heathcote - Waterfall,Poor
Illawong - Alfords Point,Poor
Menai - Lucas Heights - Woronora,Poor
Oyster Bay - Como - Jannali,Acceptable
Royal National Park,Poor
Sutherland - Kirrawee,Poor
Alfredton,Poor
Ballarat,Poor
Ballarat - North,Poor
Ballarat - South,Poor
Buninyong,Poor
Delacombe,Poor
Smythes Creek,Poor
Wendouree - Miners Rest,Poor
Bacchus Marsh Region,Acceptable
Creswick - Clunes,Acceptable
Daylesford,Acceptable
Gordon (Vic.),Poor
Avoca,Poor
Beaufort,Poor
Golden Plains - North,Poor
Maryborough (Vic.),Acceptable
Maryborough Region,Poor
Bendigo,Poor
California Gully - Eaglehawk,Acceptable
East Bendigo - Kennington,Poor
Flora Hill - Spring Gully,Poor
Kangaroo Flat - Golden Square,Good
Maiden Gully,Poor
Strathfieldsaye,Poor
White Hills - Ascot,Poor
Bendigo Region - South,Poor
Castlemaine,Acceptable
Castlemaine Region,Poor
Heathcote,Acceptable
Kyneton,Acceptable
Woodend,Good
Bendigo Region - North,Poor
Loddon,Acceptable
Bannockburn,Acceptable
Golden Plains - South,Acceptable
Winchelsea,Acceptable
Belmont,Poor
Corio - Norlane,Good
Geelong,Poor
Geelong West - Hamlyn Heights,Acceptable
Grovedale,Poor
Highton,Poor
Lara,Good
Leopold,Good
Newcomb - Moolap,Poor
Newtown (Vic.),Poor
North Geelong - Bell Park,Poor
Clifton Springs,Good
Lorne - Anglesea,Good
Ocean Grove - Barwon Heads,Good
Portarlington,Good
Queenscliff,Good
Torquay,Good
Alexandra,Good
Euroa,Good
Kilmore - Broadford,Good
Mansfield (Vic.),Good
Nagambie,Good
Seymour,Acceptable
Seymour Region,Poor
Upper Yarra Valley,Poor
Yea,Acceptable
Benalla,Good
Benalla Region,Good
Rutherglen,Good
Wangaratta,Good
Wangaratta Region,Acceptable
Beechworth,Good
Bright - Mount Beauty,Acceptable
Chiltern - Indigo Valley,Good
Myrtleford,Good
Towong,Acceptable
West Wodonga,Poor
Wodonga,Poor
Yackandandah,Poor
Drouin,Good
Mount Baw Baw Region,Poor
Trafalgar (Vic.),Good
Warragul,Good
Alps - East,Poor
Bairnsdale,Acceptable
Bruthen - Omeo,Poor
Lake King,Poor
Lakes Entrance,Good
Orbost,Good
Paynesville,Acceptable
Foster,Good
French Island,Good
Korumburra,Good
Leongatha,Good
Phillip Island,Good
Wilsons Promontory,Poor
Wonthaggi - Inverloch,Acceptable
Churchill,Poor
Moe - Newborough,Acceptable
Morwell,Acceptable
Traralgon,Good
Yallourn North - Glengarry,Poor
Alps - West,Poor
Longford - Loch Sport,Poor
Maffra,Good
Rosedale,Poor
Sale,Good
Yarram,Acceptable
Brunswick,Good
Brunswick East,Good
Brunswick West,Good
Coburg,Acceptable
Pascoe Vale South,Poor
Alphington - Fairfield,Acceptable
Northcote,Good
Thornbury,Good
Ascot Vale,Poor
Essendon - Aberfeldie,Acceptable
Flemington,Poor
Moonee Ponds,Good
Carlton,Good
Docklands,Good
East Melbourne,Good
Flemington Racecourse,Poor
Kensington,Poor
Melbourne,Good
North Melbourne,Good
Parkville,Good
South Yarra - West,Poor
Southbank,Good
West Melbourne,Poor
Albert Park,Acceptable
Elwood,Good
Port Melbourne,Good
Port Melbourne Industrial,Poor
South Melbourne,Good
St Kilda,Acceptable
St Kilda East,Poor
Armadale,Good
Prahran - Windsor,Good
South Yarra - East,Acceptable
Toorak,Good
Abbotsford,Good
Carlton North - Princes Hill,Good
Collingwood,Good
Fitzroy,Good
Fitzroy North,Poor
Richmond (Vic.),Good
Yarra - North,Poor
Ashburton (Vic.),Poor
Balwyn,Good
Balwyn North,Good
Camberwell,Good
Glen Iris - East,Poor
Hawthorn,Good
Hawthorn East,Good
Kew,Good
Kew East,Good
Surrey Hills (West) - Canterbury,Poor
Bulleen,Good
Doncaster,Good
Doncaster East,Good
Templestowe,Good
Templestowe Lower,Good
Blackburn,Poor
Blackburn South,Poor
Box Hill,Good
Box Hill North,Good
Burwood,Acceptable
Burwood East,Good
Surrey Hills (East) - Mont Albert,Poor
Beaumaris,Poor
Brighton (Vic.),Good
Brighton East,Good
Cheltenham - Highett (West),Poor
Hampton,Good
Sandringham - Black Rock,Poor
Bentleigh - McKinnon,Poor
Bentleigh East,Good
Carnegie,Poor
Caulfield - North,Acceptable
Caulfield - South,Good
Elsternwick,Acceptable
Hughesdale,Poor
Murrumbeena,Poor
Ormond - Glen Huntly,Poor
Aspendale Gardens - Waterways,Poor
Braeside,Poor
Carrum - Patterson Lakes,Good
Chelsea - Bonbeach,Poor
Chelsea Heights,Poor
Cheltenham - Highett (East),Acceptable
Edithvale - Aspendale,Poor
Mentone,Good
Moorabbin - Heatherton,Good
Moorabbin Airport,Poor
Mordialloc - Parkdale,Poor
Malvern - Glen Iris,Poor
Malvern East,Good
Bundoora - East,Poor
Greensborough,Poor
Heidelberg - Rosanna,Poor
Heidelberg West,Good
Ivanhoe,Poor
Ivanhoe East - Eaglemont,Poor
Montmorency - Briar Hill,Acceptable
Viewbank - Yallambie,Poor
Watsonia,Good
Kingsbury,Poor
Preston,Good
Reservoir - East,Poor
Reservoir - West,Poor
Eltham,Acceptable
Hurstbridge,Poor
Kinglake,Poor
Panton Hill - St Andrews,Poor
Plenty - Yarrambat,Poor
Research - North Warrandyte,Poor
Wattle Glen - Diamond Creek,Good
Bundoora - North,Poor
Bundoora - West,Poor
Epping,Good
Lalor,Good
Mill Park - North,Poor
Mill Park - South,Poor
South Morang,Good
Thomastown,Good
Wallan,Good
Whittlesea,Acceptable
Airport West,Poor
Essendon Airport,Poor
Keilor,Poor
Keilor East,Good
Niddrie - Essendon West,Poor
Strathmore,Acceptable
Gisborne,Good
Macedon,Good
Riddells Creek,Good
Romsey,Acceptable
Coburg North,Poor
Fawkner,Good
Glenroy - Hadfield,Poor
Pascoe Vale,Poor
Sunbury,Poor
Sunbury - South,Poor
Broadmeadows,Poor
Campbellfield - Coolaroo,Poor
Craigieburn - Mickleham,Poor
